Timestamp,RPM,Speed,Throttle,BrakePressure,Gear,OilPressure,EngineTemp,BatteryVoltage,EngineOn
7510,5800,20,0,100,5,78,111,140,1
7520,5700,20,0,100,5,77,111,140,1
7530,5600,20,0,100,5,76,111,140,1
7540,5500,20,0,100,5,75,111,140,1
7550,5400,20,0,100,4,74,111,140,1
7560,5300,20,0,100,4,73,111,140,1
7570,5200,20,0,100,4,72,111,140,1
7580,5100,20,0,100,4,71,111,140,1
7590,5000,20,0,100,4,70,111,140,1
7600,4900,20,0,100,4,69,111,140,1
7610,4800,20,0,100,4,68,111,140,1
7620,4700,20,0,100,4,67,111,140,1
7630,4600,20,0,100,4,66,111,140,1
7640,4500,20,0,100,4,65,111,140,1
7650,4400,20,0,100,4,64,111,140,1
7660,4300,20,0,100,4,63,111,140,1
7670,4200,20,0,100,4,62,111,140,1
7680,4100,20,0,100,4,61,111,140,1
7690,4000,20,0,100,4,60,111,140,1
7700,3900,20,0,100,3,59,111,140,1
7710,3800,20,0,100,3,58,111,140,1
7720,3700,20,0,100,3,57,111,140,1
7730,3600,20,0,100,3,56,111,140,1
7740,3500,20,0,100,3,55,111,140,1
7750,3400,20,0,100,3,54,111,140,1
7760,3300,20,0,100,3,53,111,140,1
7770,3200,20,0,100,3,52,111,140,1
7780,3100,20,0,100,3,51,111,140,1
7790,3000,20,0,100,3,50,111,140,1
7800,2900,20,0,100,3,49,111,140,1
7810,2800,20,0,100,3,48,111,140,1
7820,2700,20,0,100,3,47,111,140,1
7830,2600,20,0,100,3,46,111,140,1
7840,2500,20,0,100,3,45,111,140,1
7850,2400,20,0,100,2,44,111,140,1
7860,2300,20,0,100,2,43,111,140,1
7870,2200,20,0,100,2,42,111,140,1
7880,2100,20,0,100,2,41,111,140,1
7890,2000,20,0,100,2,40,111,140,1
7900,1900,20,0,100,2,39,111,140,1
7910,1800,20,0,100,2,38,111,140,1
7920,1700,20,0,100,2,37,111,140,1
7930,1600,20,0,100,2,36,111,140,1
7940,1500,20,0,100,2,35,111,140,1
7950,1400,20,0,100,2,34,111,140,1
7960,1300,20,0,100,2,33,111,140,1
7970,1200,20,0,100,2,32,111,140,1
7980,1100,20,0,100,2,31,111,140,1
7990,1000,20,0,100,2,30,111,140,1
8000,900,20,0,90,2,29,111,140,1
8010,800,20,0,80,2,28,111,140,1
8020,800,20,0,70,2,28,111,140,1
8030,800,20,0,60,2,28,111,140,1
8040,800,20,0,50,2,28,111,140,1
8050,800,20,0,40,2,28,111,140,1
8060,800,20,0,30,2,28,111,140,1
8070,800,20,0,20,2,28,111,140,1
8080,800,20,0,10,2,28,111,140,1
8090,800,20,0,0,2,28,111,140,1
8100,800,20,0,0,2,28,111,140,1
8110,806,19,3,0,2,28,111,140,1
8120,818,18,6,0,2,28,111,140,1
8130,836,17,9,0,2,28,111,140,1
8140,860,16,12,0,2,28,111,140,1
8150,890,15,15,0,2,28,111,140,1
8160,926,14,18,0,2,29,111,140,1
8170,968,13,21,0,2,29,111,140,1
8180,1016,12,24,0,2,30,111,140,1
8190,1070,11,27,0,2,30,111,140,1
8200,1130,11,30,0,2,31,111,140,1
8210,1196,11,33,0,2,31,111,140,1
8220,1268,12,36,0,2,32,111,140,1
8230,1346,13,39,0,2,33,111,140,1
